#Stat  Phase QA  err     wgt    traveltime   Picktime                  dist     azi    evID          elon     elat      slon      slat
VA41   P      2  0.10000 0.25000    3.280 2018-11-30T06:40:45.250000Z    7.38 340.3 KP201811300640        -21.4174  64.0169  -21.4685  64.0792
GA02   P      2  0.10000 0.25000    3.690 2018-11-30T06:40:45.660000Z    8.99  15.1 KP201811300640        -21.4174  64.0169  -21.3695  64.0948
SAN_   P      1  0.05000 0.50000    3.780 2018-11-30T06:40:45.750000Z    8.64 300.4 KP201811300640        -21.4174  64.0169  -21.5701  64.0560
KA01   P      2  0.10000 0.25000    3.640 2018-11-30T06:40:45.610000Z    8.24 178.7 KP201811300640        -21.4174  64.0169  -21.4136  63.9430
KOLD   P      2  0.10000 0.25000    4.180 2018-11-30T06:40:46.150000Z   10.89  41.3 KP201811300640        -21.4174  64.0169  -21.2700  64.0902
SKEG   P      2  0.10000 0.25000    4.500 2018-11-30T06:40:46.470000Z   11.68  29.7 KP201811300640        -21.4174  64.0169  -21.2988  64.1079
FA44   P      3  0.20000 0.12500    4.520 2018-11-30T06:40:46.490000Z   11.85  37.3 KP201811300640        -21.4174  64.0169  -21.2701  64.1014
GRAF   P      3  0.20000 0.12500    5.380 2018-11-30T06:40:47.350000Z   14.59  31.3 KP201811300640        -21.4174  64.0169  -21.2617  64.1286
OL42   P      3  0.20000 0.12500    6.170 2018-11-30T06:40:48.140000Z   17.48  50.5 KP201811300640        -21.4174  64.0169  -21.1406  64.1164
LH40   P      3  0.20000 0.12500    6.290 2018-11-30T06:40:48.260000Z   18.04  87.3 KP201811300640        -21.4174  64.0169  -21.0489  64.0241
KAS_   P      3  0.20000 0.12500    7.870 2018-11-30T06:40:49.840000Z   21.26 272.0 KP201811300640        -21.4174  64.0169  -21.8520  64.0229
SOL_   P      2  0.10000 0.25000    8.320 2018-11-30T06:40:50.290000Z   25.19 112.7 KP201811300640        -21.4174  64.0169  -20.9436  63.9290
OL26   P      1  0.05000 0.50000    1.720 2018-12-01T11:07:00.870000Z    1.48 334.8 KP201812011106        -21.2422  64.0509  -21.2551  64.0629
LSKA   P      2  0.10000 0.25000    2.220 2018-12-01T11:07:01.370000Z    3.38 236.0 KP201812011106        -21.2422  64.0509  -21.2996  64.0339
INNS   P      1  0.05000 0.50000    2.500 2018-12-01T11:07:01.650000Z    4.56 296.2 KP201812011106        -21.2422  64.0509  -21.3260  64.0689
KOLD   P      1  0.05000 0.50000    2.450 2018-12-01T11:07:01.600000Z    4.59 342.8 KP201812011106        -21.2422  64.0509  -21.2700  64.0902
JA25   P      2  0.10000 0.25000    2.570 2018-12-01T11:07:01.720000Z    5.08 256.7 KP201812011106        -21.2422  64.0509  -21.3433  64.0404
FA44   P      2  0.10000 0.25000    2.800 2018-12-01T11:07:01.950000Z    5.79 346.4 KP201812011106        -21.2422  64.0509  -21.2701  64.1014
OH23   P      2  0.10000 0.25000    2.910 2018-12-01T11:07:02.060000Z    5.88 241.9 KP201812011106        -21.2422  64.0509  -21.3483  64.0260
TH04   P      3  0.20000 0.12500    3.280 2018-12-01T11:07:02.430000Z    7.13 182.2 KP201812011106        -21.2422  64.0509  -21.2477  63.9870
SKEG   P      2  0.10000 0.25000    3.210 2018-12-01T11:07:02.360000Z    6.93 336.5 KP201812011106        -21.2422  64.0509  -21.2988  64.1079
TH07   P      2  0.10000 0.25000    3.160 2018-12-01T11:07:02.310000Z    7.19 282.2 KP201812011106        -21.2422  64.0509  -21.3861  64.0644
NESJ   P      3  0.20000 0.12500    3.390 2018-12-01T11:07:02.540000Z    7.21   2.8 KP201812011106        -21.2422  64.0509  -21.2351  64.1155
EDA_   P      2  0.10000 0.25000    3.300 2018-12-01T11:07:02.450000Z    7.99 296.3 KP201812011106        -21.2422  64.0509  -21.3891  64.0826
LA24   P      2  0.10000 0.25000    3.510 2018-12-01T11:07:02.660000Z    8.44 236.1 KP201812011106        -21.2422  64.0509  -21.3854  64.0086
GRAF   P      2  0.10000 0.25000    3.720 2018-12-01T11:07:02.870000Z    8.71 353.7 KP201812011106        -21.2422  64.0509  -21.2617  64.1286
LH40   P      2  0.10000 0.25000    3.860 2018-12-01T11:07:03.010000Z    9.91 107.5 KP201812011106        -21.2422  64.0509  -21.0489  64.0241
SVIN   P      1  0.05000 0.50000    4.020 2018-12-01T11:07:03.170000Z   10.17 273.4 KP201812011106        -21.2422  64.0509  -21.4500  64.0562
VA41   P      2  0.10000 0.25000    4.350 2018-12-01T11:07:03.500000Z   11.49 286.0 KP201812011106        -21.2422  64.0509  -21.4685  64.0792
ME05   P      2  0.10000 0.25000    4.270 2018-12-01T11:07:03.420000Z   11.40 230.4 KP201812011106        -21.2422  64.0509  -21.4216  63.9856
BL22   P      1  0.05000 0.50000    4.490 2018-12-01T11:07:03.640000Z   11.46 264.4 KP201812011106        -21.2422  64.0509  -21.4756  64.0407
BJA_   P      2  0.10000 0.25000    4.760 2018-12-01T11:07:03.910000Z   12.07 194.2 KP201812011106        -21.2422  64.0509  -21.3026  63.9459
KRIS   P      3  0.20000 0.12500    5.070 2018-12-01T11:07:04.220000Z   13.02 256.8 KP201812011106        -21.2422  64.0509  -21.5015  64.0241
SAN_   P      3  0.20000 0.12500    5.600 2018-12-01T11:07:04.750000Z   16.02 272.2 KP201812011106        -21.2422  64.0509  -21.5701  64.0560
SOL_   P      1  0.05000 0.50000    6.720 2018-12-01T11:07:05.870000Z   19.96 132.8 KP201812011106        -21.2422  64.0509  -20.9436  63.9290
ME05   P      1  0.05000 0.50000    2.650 2018-12-04T13:44:12.240000Z    3.93 331.1 KP201812041344        -21.3828  63.9547  -21.4216  63.9856
BJA_   P      1  0.05000 0.50000    2.820 2018-12-04T13:44:12.410000Z    4.05 104.0 KP201812041344        -21.3828  63.9547  -21.3026  63.9459
KA01   P      0  0.02500 1.00000    2.580 2018-12-04T13:44:12.170000Z    2.00 229.2 KP201812041344        -21.3828  63.9547  -21.4136  63.9430
LA24   P      1  0.05000 0.50000    3.070 2018-12-04T13:44:12.660000Z    6.01 358.8 KP201812041344        -21.3828  63.9547  -21.3854  64.0086
GR43   P      2  0.10000 0.25000    3.170 2018-12-04T13:44:12.760000Z    6.80 345.3 KP201812041344        -21.3828  63.9547  -21.4182  64.0137
UR20   P      2  0.10000 0.25000    3.630 2018-12-04T13:44:13.220000Z    7.84  28.8 KP201812041344        -21.3828  63.9547  -21.3057  64.0163
TH04   P      2  0.10000 0.25000    3.490 2018-12-04T13:44:13.080000Z    7.53  61.4 KP201812041344        -21.3828  63.9547  -21.2477  63.9870
RE09   P      2  0.10000 0.25000    3.560 2018-12-04T13:44:13.150000Z    7.81   2.8 KP201812041344        -21.3828  63.9547  -21.3750  64.0247
OH23   P      2  0.10000 0.25000    3.770 2018-12-04T13:44:13.360000Z    8.13  12.0 KP201812041344        -21.3828  63.9547  -21.3483  64.0260
LSKA   P      3  0.20000 0.12500    3.990 2018-12-04T13:44:13.580000Z    9.72  24.7 KP201812041344        -21.3828  63.9547  -21.2996  64.0339
JA25   P      2  0.10000 0.25000    3.980 2018-12-04T13:44:13.570000Z    9.75  11.4 KP201812041344        -21.3828  63.9547  -21.3433  64.0404
KRIS   P      2  0.10000 0.25000    4.170 2018-12-04T13:44:13.760000Z    9.68 323.1 KP201812041344        -21.3828  63.9547  -21.5015  64.0241
HUML   P      1  0.05000 0.50000    4.180 2018-12-04T13:44:13.770000Z   10.79 356.3 KP201812041344        -21.3828  63.9547  -21.3971  64.0513
SVIN   P      1  0.05000 0.50000    4.550 2018-12-04T13:44:14.140000Z   11.78 343.8 KP201812041344        -21.3828  63.9547  -21.4500  64.0562
TH07   P      1  0.05000 0.50000    4.530 2018-12-04T13:44:14.120000Z   12.23 359.2 KP201812041344        -21.3828  63.9547  -21.3861  64.0644
INNS   P      1  0.05000 0.50000    4.840 2018-12-04T13:44:14.430000Z   13.03  12.3 KP201812041344        -21.3828  63.9547  -21.3260  64.0689
OL26   P      3  0.20000 0.12500    4.850 2018-12-04T13:44:14.440000Z   13.58  27.3 KP201812041344        -21.3828  63.9547  -21.2551  64.0629
EDA_   P      2  0.10000 0.25000    5.000 2018-12-04T13:44:14.590000Z   14.26 358.8 KP201812041344        -21.3828  63.9547  -21.3891  64.0826
VA41   P      2  0.10000 0.25000    5.130 2018-12-04T13:44:14.720000Z   14.50 343.2 KP201812041344        -21.3828  63.9547  -21.4685  64.0792
SAN_   P      2  0.10000 0.25000    5.320 2018-12-04T13:44:14.910000Z   14.54 321.0 KP201812041344        -21.3828  63.9547  -21.5701  64.0560
GA02   P      2  0.10000 0.25000    5.340 2018-12-04T13:44:14.930000Z   15.63   2.4 KP201812041344        -21.3828  63.9547  -21.3695  64.0948
FA44   P      3  0.20000 0.12500    5.760 2018-12-04T13:44:15.350000Z   17.26  18.6 KP201812041344        -21.3828  63.9547  -21.2701  64.1014
SKEG   P      2  0.10000 0.25000    5.970 2018-12-04T13:44:15.560000Z   17.56  13.5 KP201812041344        -21.3828  63.9547  -21.2988  64.1079
GRAF   P      2  0.10000 0.25000    6.720 2018-12-04T13:44:16.310000Z   20.27  16.9 KP201812041344        -21.3828  63.9547  -21.2617  64.1286
KRO_   P      2  0.10000 0.25000    6.690 2018-12-04T13:44:16.280000Z   20.51  38.7 KP201812041344        -21.3828  63.9547  -21.1198  64.0981
SOL_   P      1  0.05000 0.50000    7.130 2018-12-04T13:44:16.720000Z   21.73  97.4 KP201812041344        -21.3828  63.9547  -20.9436  63.9290
KAS_   P      3  0.20000 0.12500    8.260 2018-12-04T13:44:17.850000Z   24.19 288.5 KP201812041344        -21.3828  63.9547  -21.8520  64.0229
LA24   P      1  0.05000 0.50000    1.490 2018-12-07T23:06:57.790000Z    1.77 321.4 KP201812072306        -21.3628  63.9962  -21.3854  64.0086
OH23   P      3  0.20000 0.12500    2.240 2018-12-07T23:06:58.540000Z    3.40  12.0 KP201812072306        -21.3628  63.9962  -21.3483  64.0260
RE09   P      2  0.10000 0.25000    2.020 2018-12-07T23:06:58.320000Z    3.23 349.4 KP201812072306        -21.3628  63.9962  -21.3750  64.0247
GR43   P      2  0.10000 0.25000    1.930 2018-12-07T23:06:58.230000Z    3.34 305.8 KP201812072306        -21.3628  63.9962  -21.4182  64.0137
TH21   P      2  0.10000 0.25000    2.620 2018-12-07T23:06:58.920000Z    4.82 354.8 KP201812072306        -21.3628  63.9962  -21.3718  64.0393
ME05   P      2  0.10000 0.25000    1.880 2018-12-07T23:06:58.180000Z    3.11 247.7 KP201812072306        -21.3628  63.9962  -21.4216  63.9856
LSKA   P      2  0.10000 0.25000    2.710 2018-12-07T23:06:59.010000Z    5.22  36.3 KP201812072306        -21.3628  63.9962  -21.2996  64.0339
TH04   P      1  0.05000 0.50000    2.910 2018-12-07T23:06:59.210000Z    5.73 100.3 KP201812072306        -21.3628  63.9962  -21.2477  63.9870
HUML   P      1  0.05000 0.50000    2.920 2018-12-07T23:06:59.220000Z    6.37 344.7 KP201812072306        -21.3628  63.9962  -21.3971  64.0513
LA08   P      2  0.10000 0.25000    3.000 2018-12-07T23:06:59.300000Z    6.01 279.0 KP201812072306        -21.3628  63.9962  -21.4842  64.0046
SVIN   P      2  0.10000 0.25000    3.530 2018-12-07T23:06:59.830000Z    7.93 327.5 KP201812072306        -21.3628  63.9962  -21.4500  64.0562
KA01   P      2  0.10000 0.25000    3.150 2018-12-07T23:06:59.450000Z    6.43 202.8 KP201812072306        -21.3628  63.9962  -21.4136  63.9430
KRIS   P      2  0.10000 0.25000    3.730 2018-12-07T23:07:00.030000Z    7.46 294.7 KP201812072306        -21.3628  63.9962  -21.5015  64.0241
VA41   P      2  0.10000 0.25000    4.360 2018-12-07T23:07:00.660000Z   10.60 330.9 KP201812072306        -21.3628  63.9962  -21.4685  64.0792
